sample_1	sample_2	Type	sample_1_reads	sample_2_reads	sample_1_2_reads	sample_2_1_reads	rate
TW004_NA_SG	TW031_HE6_TW1	TW_SG	7314345	7870204	532	871	9.2388e-05
TW004_NA_SG	TW042_NA_SG	SG	7314345	6685121	1443	1132	0.0001839017
TW004_NA_SG	TW041_HE4_TW1	TW_SG	7314345	12027986	1287	1432	0.0001405527
TW004_NA_SG	TW032_NA_SG	SG	7314345	8168903	1843	1365	0.0002071487
TW004_NA_SG	TW024_HE4_TW1	TW_SG	7314345	4999574	10556	11493	0.0017873749
TW004_NA_SG	TW059_NA_SG	SG	7314345	9285893	927	1080	0.0001208872
TW004_NA_SG	TW053_HE5_TW1	TW_SG	7314345	8630134	890	15833	0.0010477281
TW004_NA_SG	TW045_NA_SG	SG	7314345	7133260	952	1113	0.0001429098
TW004_NA_SG	TW058_LE3_TW1	TW_SG	7314345	5963756	328	678	7.57581e-05
TW004_NA_SG	TW029_NA_SG	SG	7314345	7697331	1119	1308	0.000161648
TW004_NA_SG	TW061_NA_SG	SG	7314345	8590347	1421	996	0.0001519446
TW004_NA_SG	TW016_NA_TW1	TW_SG	7314345	10190759	795	1086	0.0001074428
TW004_NA_SG	TW052_HE4_TW1	TW_SG	7314345	12173455	923	1348	0.0001165208
TW004_NA_SG	TW051_NA_SG	SG	7314345	9668794	938	1269	0.0001299355
TW004_NA_SG	TW011_LE1_TW1	TW_SG	7314345	4919761	279	840	9.14572e-05
TW004_NA_SG	TW006_NA_SG	SG	7314345	44135255	11087	8873	0.000387802
TW004_NA_SG	TW063_NA_SG	SG	7314345	6783887	937	954	0.0001341123
TW004_NA_SG	TW048_NA_TW1	TW_SG	7314345	4935903	382	743	9.18264e-05
TW004_NA_SG	TW003_NA_SG	SG	7314345	7329539	916	948	0.0001272724
TW004_NA_SG	TW072_NA_TW1	TW_SG	7314345	5628754	293	479	5.96421e-05
TW004_NA_SG	TW040_LE2_TW1	TW_SG	7314345	11420717	1602	3329	0.000263127
TW004_NA_SG	TW034_NA_SG	SG	7314345	8946256	2127	1571	0.0002273691
TW004_NA_SG	TW046_NA_SG	SG	7314345	17146070	1231	2128	0.000137305
TW004_NA_SG	TW013_NA_SG	SG	7314345	13906382	915	1876	0.000131505
TW004_NA_SG	TW044_NA_TW1	TW_SG	7314345	9026463	524	995	9.29488e-05
TW004_NA_SG	TW068_NA_SG	SG	7314345	37914848	7471	7411	0.000328927
TW004_NA_SG	TW001_NA_TW1	TW_SG	7314345	28457319	1706	2295	0.0001118357
TW004_NA_SG	TW015_HE4_TW1	TW_SG	7314345	9784335	873	1199	0.0001211642
TW004_NA_SG	TW050_NA_SG	SG	7314345	17162729	1235	1683	0.0001191993
TW004_NA_SG	TW054_LE3_TW1	TW_SG	7314345	12029117	666	1116	9.21156e-05
TW004_NA_SG	TW069_NA_SG	SG	7314345	8649838	1972	1871	0.0002406684
TW025_HE6_TW1	TW037_NA_SG	TW_SG	9599480	689564	16361	881	0.0016729595
TW025_HE6_TW1	TW030_LE2_TW1	TW	9599480	9786158	572	557	5.82355e-05
TW025_HE6_TW1	TW010_NA_SG	TW_SG	9599480	8407596	553	531	6.01949e-05
TW025_HE6_TW1	TW035_HE6_TW1	HE	9599480	4455514	32815	31251	0.0045375541
TW025_HE6_TW1	TW064_NA_SG	TW_SG	9599480	7899827	1823	1995	0.0002181324
TW025_HE6_TW1	TW022_NA_SG	TW_SG	9599480	15572830	917	512	5.67655e-05
TW025_HE6_TW1	TW026_NA_TW1	TW	9599480	8644611	394	365	4.16007e-05
TW025_HE6_TW1	TW062_NA_SG	TW_SG	9599480	5774061	2591	3766	0.0004133317
TW025_HE6_TW1	TW066_HE5_TW1	TW	9599480	7583713	247	214	2.68278e-05
TW025_HE6_TW1	TW023_NA_SG	TW_SG	9599480	14005960	1330	18148	0.0008244684
TW025_HE6_TW1	TW036_HE5_TW1	TW	9599480	6448197	616	341	5.96312e-05
TW025_HE6_TW1	TW021_NA_SG	TW_SG	9599480	7682907	1216	1278	0.0001442879
TW025_HE6_TW1	TW031_HE6_TW1	HE	9599480	7870204	61810	58820	0.0068577513
TW025_HE6_TW1	TW042_NA_SG	TW_SG	9599480	6685121	1874	1373	0.000199351
TW025_HE6_TW1	TW041_HE4_TW1	TW	9599480	12027986	287	309	2.75567e-05
TW025_HE6_TW1	TW032_NA_SG	TW_SG	9599480	8168903	755	549	7.33833e-05
TW025_HE6_TW1	TW024_HE4_TW1	TW	9599480	4999574	186	240	2.91791e-05
TW025_HE6_TW1	TW059_NA_SG	TW_SG	9599480	9285893	1906	900	0.0001485585
TW025_HE6_TW1	TW053_HE5_TW1	TW	9599480	8630134	265	332	3.27478e-05
TW025_HE6_TW1	TW045_NA_SG	TW_SG	9599480	7133260	616	653	7.58335e-05
TW025_HE6_TW1	TW058_LE3_TW1	TW	9599480	5963756	1459	336	0.0001153226
TW025_HE6_TW1	TW029_NA_SG	TW_SG	9599480	7697331	497	543	6.0123e-05
TW025_HE6_TW1	TW061_NA_SG	TW_SG	9599480	8590347	776	535	7.2068e-05
TW025_HE6_TW1	TW016_NA_TW1	TW	9599480	10190759	287	285	2.89023e-05
TW025_HE6_TW1	TW052_HE4_TW1	TW	9599480	12173455	275	354	2.88882e-05
TW025_HE6_TW1	TW051_NA_SG	TW_SG	9599480	9668794	523	736	6.53363e-05
TW025_HE6_TW1	TW011_LE1_TW1	TW	9599480	4919761	104	147	1.72871e-05
TW025_HE6_TW1	TW006_NA_SG	TW_SG	9599480	44135255	2965	3715	0.0001242989
TW025_HE6_TW1	TW063_NA_SG	TW_SG	9599480	6783887	428	424	5.20012e-05
TW025_HE6_TW1	TW048_NA_TW1	TW	9599480	4935903	906	134	7.15444e-05
TW025_HE6_TW1	TW003_NA_SG	TW_SG	9599480	7329539	631	543	6.93435e-05
TW025_HE6_TW1	TW072_NA_TW1	TW	9599480	5628754	165	147	2.04878e-05
TW025_HE6_TW1	TW040_LE2_TW1	TW	9599480	11420717	350	431	3.71533e-05
TW025_HE6_TW1	TW034_NA_SG	TW_SG	9599480	8946256	1501	832	0.0001257812
TW025_HE6_TW1	TW046_NA_SG	TW_SG	9599480	17146070	628	592	4.56129e-05
TW025_HE6_TW1	TW013_NA_SG	TW_SG	9599480	13906382	304	365	2.84601e-05
TW025_HE6_TW1	TW044_NA_TW1	TW	9599480	9026463	480	887	7.33868e-05
TW025_HE6_TW1	TW068_NA_SG	TW_SG	9599480	37914848	7712	3179	0.0002291625
TW025_HE6_TW1	TW001_NA_TW1	TW	9599480	28457319	5895	1446	0.0001928586
TW025_HE6_TW1	TW015_HE4_TW1	TW	9599480	9784335	280	236	2.66194e-05
TW025_HE6_TW1	TW050_NA_SG	TW_SG	9599480	17162729	443	516	3.58328e-05
TW025_HE6_TW1	TW054_LE3_TW1	TW	9599480	12029117	1495	388	8.7053e-05
TW025_HE6_TW1	TW069_NA_SG	TW_SG	9599480	8649838	1877	1387	0.000178824
TW037_NA_SG	TW030_LE2_TW1	TW_SG	689564	9786158	853	31	8.43784e-05
TW037_NA_SG	TW010_NA_SG	SG	689564	8407596	4443	38	0.0004923288
TW037_NA_SG	TW035_HE6_TW1	TW_SG	689564	4455514	576	86	0.0001286501
TW037_NA_SG	TW064_NA_SG	SG	689564	7899827	6757	282	0.0008188282
TW037_NA_SG	TW022_NA_SG	SG	689564	15572830	4870	36	0.0003015866
TW037_NA_SG	TW026_NA_TW1	TW_SG	689564	8644611	710	23	7.85224e-05
TW037_NA_SG	TW062_NA_SG	SG	689564	5774061	1493	150	0.0002541271
TW037_NA_SG	TW066_HE5_TW1	TW_SG	689564	7583713	630	33	8.01311e-05
TW037_NA_SG	TW023_NA_SG	SG	689564	14005960	5484	122	0.0003813312
TW037_NA_SG	TW036_HE5_TW1	TW_SG	689564	6448197	602	96	9.77802e-05
TW037_NA_SG	TW021_NA_SG	SG	689564	7682907	4438	214	0.0005553219
TW037_NA_SG	TW031_HE6_TW1	TW_SG	689564	7870204	550	178	8.50418e-05
TW037_NA_SG	TW042_NA_SG	SG	689564	6685121	2771	96	0.0003886112
TW037_NA_SG	TW041_HE4_TW1	TW_SG	689564	12027986	916	28	7.42226e-05
TW037_NA_SG	TW032_NA_SG	SG	689564	8168903	3491	43	0.0003987812
TW037_NA_SG	TW024_HE4_TW1	TW_SG	689564	4999574	837	153	0.0001739855
TW037_NA_SG	TW059_NA_SG	SG	689564	9285893	16142	44	0.0016199537
TW037_NA_SG	TW053_HE5_TW1	TW_SG	689564	8630134	4803	3251	0.0008634449
TW037_NA_SG	TW045_NA_SG	SG	689564	7133260	33095	68	0.0042213664
TW037_NA_SG	TW058_LE3_TW1	TW_SG	689564	5963756	587	21	9.13745e-05
TW037_NA_SG	TW029_NA_SG	SG	689564	7697331	3812	50	0.0004602683
TW037_NA_SG	TW061_NA_SG	SG	689564	8590347	4523	33	0.000490712
TW037_NA_SG	TW016_NA_TW1	TW_SG	689564	10190759	1389	56	0.0001327909
TW037_NA_SG	TW052_HE4_TW1	TW_SG	689564	12173455	1269	44	0.0001020651
TW037_NA_SG	TW051_NA_SG	SG	689564	9668794	5259	49	0.0005121739
TW037_NA_SG	TW011_LE1_TW1	TW_SG	689564	4919761	406	12	7.45132e-05
TW037_NA_SG	TW006_NA_SG	SG	689564	44135255	20922	865	0.0004858115
TW037_NA_SG	TW063_NA_SG	SG	689564	6783887	3374	31	0.0004554053
TW037_NA_SG	TW048_NA_TW1	TW_SG	689564	4935903	616	22	0.0001133999
TW037_NA_SG	TW003_NA_SG	SG	689564	7329539	6746	47	0.0008463852
TW037_NA_SG	TW072_NA_TW1	TW_SG	689564	5628754	730	19	0.0001185301
TW037_NA_SG	TW040_LE2_TW1	TW_SG	689564	11420717	935	26	7.93477e-05
TW037_NA_SG	TW034_NA_SG	SG	689564	8946256	3567	58	0.0003760589
TW037_NA_SG	TW046_NA_SG	SG	689564	17146070	39407	112	0.0022108342
TW037_NA_SG	TW013_NA_SG	SG	689564	13906382	6893	31	0.0004741533
TW037_NA_SG	TW044_NA_TW1	TW_SG	689564	9026463	928	139	0.0001098064
TW037_NA_SG	TW068_NA_SG	SG	689564	37914848	10235	258	0.0002717344
TW037_NA_SG	TW001_NA_TW1	TW_SG	689564	28457319	2096	49	7.35873e-05
TW037_NA_SG	TW015_HE4_TW1	TW_SG	689564	9784335	956	16	9.27935e-05
