PopA	PopB	PopC	PopD	F4	StdErr	Z	ABBA	BABA	SNPs
Mbuti	CentralAmerica_TW2	WestIberia_TW2	WestIberia_SG	0.000316	0.00036	0.879	13034	12952	261777
Mbuti	SouthEastAsia_SG	WestIberia_SG	WestIberia_TW1	-0.000774	0.001773	-0.437	629	640	13156
Mbuti	SouthEastAsia_SG	WestIberia_SG	WestIberia_TW2	-0.000666	0.001651	-0.403	676	685	13763
Mbuti	SouthEastAsia_TW1	WestIberia_TW1	WestIberia_SG	-0.000397	0.000647	-0.613	4945	4986	102521
Mbuti	SouthEastAsia_TW1	WestIberia_TW1	WestIberia_TW2	-0.000024	0.000234	-0.101	16286	16294	340114
Mbuti	SouthEastAsia_TW2	WestIberia_TW2	WestIberia_TW1	0.000203	0.000194	1.045	21971	21878	457280
Mbuti	SouthEastAsia_TW2	WestIberia_TW2	WestIberia_SG	0.000308	0.000494	0.624	6996	6952	142615
Mbuti	EastIberia_SG	WestIberia_SG	WestIberia_TW1	-0.000036	0.002591	-0.014	362	362	7015
Mbuti	EastIberia_SG	WestIberia_SG	WestIberia_TW2	0.002201	0.002365	0.931	393	377	7366
Mbuti	EastIberia_TW1	WestIberia_TW1	WestIberia_SG	-0.000374	0.000626	-0.598	5294	5334	105886
Mbuti	EastIberia_TW1	WestIberia_TW1	WestIberia_TW2	-0.000429	0.000239	-1.797	17400	17550	348558
Mbuti	EastIberia_TW2	WestIberia_TW2	WestIberia_TW1	0.000267	0.000163	1.644	35550	35362	701289
Mbuti	EastIberia_TW2	WestIberia_TW2	WestIberia_SG	0.000199	0.000391	0.508	11168	11125	217984
